ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alter_Egos,Publisher,Alignment,Gender,Race,Height,Weight,Eye,Hair,Skin,Total_Power
1,One-Above-All,100,100,100,100,100,100,No,Marvel Comics,neutral,Other,Cosmic Entity,- // 0 cm,- lb // 0 kg,Yellow,Blond,,600
2,The Presence,100,100,100,100,100,100,No,DC Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,600
3,Man of Miracles,100,100,100,100,100,100,No,Image Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Blue,Silver,,600
4,Angela,95,100,100,100,100,100,No,Image Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,595
5,General Zod,100,100,100,100,100,95,Yes,DC Comics,bad,Male,Kryptonian,- // 0 cm,- lb // 0 kg,Black,Black,,595
6,Binary,95,100,100,100,100,100,Yes,Marvel Comics,good,Female,,5'11 // 180 cm,120 lb // 54 kg,Blue,Blond,,595
7,Monarch,95,100,100,100,100,95,No,DC Comics,good,Male,,6'4 // 193 cm,200 lb // 90 kg,Blue,White,,590
8,Granny Goodness,100,100,90,100,95,100,No,DC Comics,bad,Female,,5'10 // 178 cm,256 lb // 115 kg,Blue,White,,585
9,Steppenwolf,100,100,85,100,100,100,No,DC Comics,bad,Male,New God,6'0 // 183 cm,203 lb // 91 kg,Red,Black,White,585
10,Superboy-Prime,100,100,100,100,100,85,Yes,DC Comics,bad,Male,Kryptonian,5'11 // 180 cm,170 lb // 77 kg,Blue,Black,,585
11,Vegeta,95,100,95,95,100,100,No,Shueisha,bad,Male,Saiyan,5'6 // 168 cm,163 lb // 73 kg,,Black,,585
12,Beyonder,100,100,100,100,100,85,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,585
13,Superman,100,100,100,100,100,85,Yes,DC Comics,good,Male,Kryptonian,6'3 // 191 cm,225 lb // 101 kg,Blue,Black,,585
14,Lucifer Morningstar,100,100,85,100,100,95,Yes,DC Comics,neutral,Male,God / Eternal,5'10 // 178 cm,175 lb // 79 kg,Amber,Blond,,580
15,Big Barda,95,100,80,100,100,100,No,DC Comics,bad,Female,New God,6'2 // 188 cm,300 lb // 135 kg,Blue,Black,,575
16,Darkseid,95,100,85,100,100,95,Yes,DC Comics,bad,Male,New God,8'9 // 267 cm,1815 lb // 817 kg,Red,No Hair,Grey,575
17,Martian Manhunter,100,95,95,100,100,85,No,DC Comics,good,Male,Martian,6'7 // 201 cm,300 lb // 135 kg,Red,No Hair,Green,575
18,Power Girl,100,100,100,100,100,75,No,DC Comics,good,Female,Kryptonian,5'11 // 180 cm,180 lb // 81 kg,Blue,Blond,,575
19,Supergirl,100,100,100,100,100,75,Yes,DC Comics,good,Female,Kryptonian,5'5 // 165 cm,120 lb // 54 kg,Blue,Blond,,575
20,Wonder Woman,95,100,80,100,100,100,Yes,DC Comics,good,Female,Amazon,6'0 // 183 cm,165 lb // 74 kg,Blue,Black,,575
21,Amazo,85,100,85,100,100,100,No,DC Comics,bad,Male,Android,8'5 // 257 cm,385 lb // 173 kg,Red,,,570
22,Thor,85,100,85,100,100,100,Yes,Marvel Comics,good,Male,Asgardian,6'6 // 198 cm,640 lb // 288 kg,Blue,Blond,,570
23,Aztar,95,95,95,95,95,90,Yes,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
24,Ben 10,90,100,100,100,100,75,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
25,Captain Universe,95,95,95,95,100,85,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,565
26,Phoenix,100,100,85,100,100,80,Yes,Marvel Comics,good,Female,Mutant,5'6 // 168 cm,115 lb // 52 kg,Green,Red,,565
27,Spectre,95,100,100,100,100,70,Yes,DC Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,White,No Hair,White,565
28,Stardust,95,85,100,100,100,85,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,565
29,Ares,90,100,75,100,100,100,No,DC Comics,neutral,Male,God / Eternal,6'10 // 208 cm,359 lb // 162 kg,Red,Black,,565
30,Cyborg Superman,90,95,95,100,100,80,No,DC Comics,bad,Male,Cyborg,- // 0 cm,- lb // 0 kg,Blue,Black,,560
31,Trigon,95,100,85,100,100,80,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Yellow,Black,Red,560
32,Hyperion,95,100,100,95,90,80,No,Marvel Comics,good,Male,Eternal,6'0 // 183 cm,460 lb // 207 kg,Blue,Red,,560
33,Dormammu,95,95,85,100,100,80,Yes,Marvel Comics,bad,Male,,6'1 // 185 cm,- lb // 0 kg,Yellow,No Hair,,555
34,Faora,95,95,75,100,100,90,No,DC Comics,bad,Female,Kryptonian,- // 0 cm,- lb // 0 kg,,,,555
35,Shazam,95,100,90,95,100,75,Yes,DC Comics,good,Male,Human,6'4 // 193 cm,225 lb // 101 kg,Blue,Black,,555
36,Bizarro,75,95,100,100,100,85,No,DC Comics,neutral,Male,Bizarro,6'3 // 191 cm,345 lb // 155 kg,Black,Black,White,555
37,Black Adam,95,100,95,100,100,60,No,DC Comics,bad,Male,,6'3 // 191 cm,250 lb // 113 kg,Brown,Black,,550
38,Doomsday,90,100,70,100,100,90,No,DC Comics,bad,Male,Alien,8'0 // 244 cm,915 lb // 412 kg,Red,White,,550
39,Bomb Queen,90,90,80,95,100,90,No,Image Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,545
40,Captain Atom,95,95,85,90,100,80,No,DC Comics,good,Male,Human / Radiation,6'4 // 193 cm,200 lb // 90 kg,Blue,Silver,Silver,545
41,Captain Marvel,95,90,75,95,100,90,Yes,Marvel Comics,good,Female,Human-Kree,5'11 // 180 cm,165 lb // 74 kg,Blue,Blond,,545
42,Goku,80,100,75,90,100,100,Yes,Shueisha,good,Male,Saiyan,5'9 // 175 cm,137 lb // 62 kg,,,,545
43,Hulk,95,100,65,100,100,85,Yes,Marvel Comics,good,Male,Human / Radiation,8'0 // 244 cm,1400 lb // 630 kg,Green,Green,Green,545
44,Abraxas,100,100,85,100,100,55,No,Marvel Comics,bad,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,Blue,Black,,540
45,Cheetah III,95,100,90,80,80,95,No,DC Comics,bad,Female,Human,5'9 // 175 cm,120 lb // 54 kg,Brown,Brown,,540
46,Magus,95,100,70,100,100,75,No,Marvel Comics,bad,Male,,6'0 // 183 cm,- lb // 0 kg,Black,,,540
47,Nova,100,85,75,100,100,80,No,Marvel Comics,good,Male,Human,6'1 // 185 cm,190 lb // 86 kg,Brown,Brown,,540
48,Odin,100,85,70,95,100,90,Yes,Marvel Comics,good,Male,God / Eternal,6'9 // 206 cm,650 lb // 293 kg,Blue,White,,540
49,Lobo,100,100,55,100,100,85,No,DC Comics,neutral,Male,Czarnian,7'6 // 229 cm,640 lb // 288 kg,Red,Black,Blue-White,540
50,Anti-Monitor,95,100,50,100,100,90,Yes,DC Comics,bad,Male,God / Eternal,200 // 6100 cm,- lb // 0 kg,Yellow,No Hair,,535
51,Mister Mxyzptlk,100,85,100,100,100,50,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,535
52,Surtur,95,100,60,100,100,80,Yes,Marvel Comics,bad,Male,God / Eternal,1000 // 30480 cm,- lb // 0 kg,Yellow,Red,Red,535
53,Donna Troy,90,90,85,90,85,95,No,DC Comics,good,Female,Amazon,5'9 // 175 cm,140 lb // 63 kg,Blue,Black,,535
54,Kratos,80,95,65,95,100,100,No,Wildstorm,good,Male,Demi-God,6'6 // 198 cm,240 lb // 108 kg,,,,535
55,Sentry,90,100,100,100,100,45,Yes,Marvel Comics,good,Male,Human,6'2 // 188 cm,194 lb // 87 kg,Blue,Blond,,535
56,Galactus,100,100,85,100,100,50,Yes,Marvel Comics,neutral,Male,Cosmic Entity,28'9 // 876 cm,36400 lb // 16000 kg,Black,Black,,535
57,Atom,90,95,75,95,90,85,No,DC Comics,good,Male,,5'10 // 178 cm,150 lb // 68 kg,Blue,Red,,530
58,Gladiator,80,100,100,100,80,70,No,Marvel Comics,neutral,Male,Strontian,6'6 // 198 cm,595 lb // 268 kg,Blue,Blue,Purple,530
59,Living Tribunal,100,100,100,100,100,30,No,Marvel Comics,neutral,Male,Cosmic Entity,- // 0 cm,- lb // 0 kg,Blue,No Hair,Yellow,530
60,Fallen One II,95,85,85,100,100,60,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Black,Blue,,525
61,Match,90,95,85,85,100,70,No,DC Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Black,Black,,525
62,Hawkwoman,90,85,85,90,85,90,No,DC Comics,good,Female,,5'9 // 175 cm,120 lb // 54 kg,Green,Red,,525
63,Peter Petrelli,70,60,100,100,100,95,No,NBC - Heroes,good,Male,,- // 0 cm,- lb // 0 kg,,,,525
64,Aquaman,95,85,80,80,100,80,Yes,DC Comics,good,Male,Atlantean,6'1 // 185 cm,325 lb // 146 kg,Blue,Blond,,520
65,Captain Mar-vell,85,85,85,85,95,85,No,Marvel Comics,good,Male,,6'2' // 188 cm,240 lb // 108 kg,Blue,Blond,,520
66,Naruto Uzumaki,75,90,75,80,100,100,No,Shueisha,good,Male,Human,5'10 // 178 cm,121 lb // 54 kg,Blue,Yellow,,520
67,Molecule Man,85,100,70,90,100,70,No,Marvel Comics,bad,Male,Human / Radiation,5'7 // 170 cm,140 lb // 63 kg,Blue,Brown,,515
68,Thanos,100,100,35,100,100,80,Yes,Marvel Comics,bad,Male,Eternal,6'7 // 201 cm,985 lb // 443 kg,Red,No Hair,Purple,515
69,Thanos (Infinity Gauntlet),100,100,35,100,100,80,Yes,Marvel Comics,bad,Male,Eternal,6'7 // 201 cm,985 lb // 443 kg,Red,No Hair,Purple,515
70,He-Man,90,100,75,90,75,85,No,Mattel,good,Male,Human,- // 0 cm,- lb // 0 kg,,,,515
71,Spawn,90,75,50,100,100,100,Yes,Image Comics,good,Male,Demon,6'11 // 211 cm,900 lb // 405 kg,Brown,Black,,515
72,Superboy,90,95,85,90,95,60,No,DC Comics,good,Male,,5'7 // 170 cm,150 lb // 68 kg,Blue,Black,,515
73,War Machine,85,80,65,100,100,85,Yes,Marvel Comics,good,Male,Human,6'1 // 185 cm,210 lb // 95 kg,Brown,Brown,,515
74,Cat,90,85,80,90,85,80,No,Marvel Comics,good,Female,,5'8 // 173 cm,135 lb // 61 kg,Blue,Blond,,510
75,Ghost Rider II,70,85,95,85,85,90,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,510
76,Hercules,85,100,50,85,90,100,No,Marvel Comics,good,Male,Demi-God,6'5 // 196 cm,325 lb // 146 kg,Blue,Brown,,510
77,Mogo,80,85,85,95,95,70,No,DC Comics,good,Male,Planet,- // 0 cm,- lb // 0 kg,,,,510
78,Venompool,85,60,65,100,100,100,Yes,Marvel Comics,neutral,Male,Symbiote,7'5 // 226 cm,- lb // 0 kg,,,,510
79,Weapon XI,80,65,65,100,95,100,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,505
80,Black Bolt,90,70,100,85,100,60,No,Marvel Comics,good,Male,Inhuman,6'2 // 188 cm,210 lb // 95 kg,Blue,Black,,505
81,Blue Beetle,85,80,80,85,90,85,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Blue,Brown,,505
82,Silver Surfer,80,100,100,90,100,35,Yes,Marvel Comics,good,Male,Alien,6'4 // 193 cm,225 lb // 101 kg,White,No Hair,Silver,505
83,Lady Bullseye,90,75,80,80,75,100,No,Marvel Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,Black,,500
84,Razor-Fist II,70,85,80,80,85,100,No,Marvel Comics,bad,Male,,6'3 // 191 cm,260 lb // 117 kg,Blue,No Hair,,500
85,Garbage Man,80,90,65,90,90,85,No,DC Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,,,,500
86,Green Lantern,85,90,75,80,100,70,Yes,DC Comics,good,Male,Human,6'2 // 188 cm,200 lb // 90 kg,Brown,Brown,,500
87,Thor Girl,90,85,70,85,100,70,No,Marvel Comics,good,Female,Asgardian,5'9 // 175 cm,317 lb // 143 kg,Blue,Blond,,500
88,Watcher,100,80,70,90,100,60,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,500
89,Apocalypse,100,100,35,100,100,60,Yes,Marvel Comics,bad,Male,Mutant,7'0 // 213 cm,300 lb // 135 kg,Red,Black,Grey,495
90,Captain Epic,85,85,75,85,80,85,No,Team Epic TV,good,Male,,6'2 // 188 cm,- lb // 0 kg,Blue,Brown,,495
91,Century,95,80,55,65,100,100,No,Marvel Comics,good,Male,Alien,6'7 // 201 cm,215 lb // 97 kg,White,White,Grey,495
92,Hancock,85,90,70,100,100,50,No,Sony Pictures,good,Male,Human,6'2 // 188 cm,- lb // 0 kg,Brown,Black,,495
93,Hawkwoman III,75,80,85,85,80,90,No,DC Comics,good,Female,,5'7 // 170 cm,145 lb // 65 kg,Blue,Red,,495
94,Iron Man,100,85,60,85,100,65,Yes,Marvel Comics,good,Male,Human,6'6 // 198 cm,425 lb // 191 kg,Blue,Black,,495
95,Jesse Quick,90,60,100,70,90,85,Yes,DC Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,,,,495
96,Metamorpho,70,85,70,95,95,80,No,DC Comics,good,Male,,6'1 // 185 cm,200 lb // 90 kg,Black,No Hair,,495
97,One Punch Man,65,100,95,100,70,65,No,Shueisha,good,Male,Human,5'9 // 175 cm,154 lb // 69 kg,,No Hair,,495
98,Sif,85,90,70,80,100,70,Yes,Marvel Comics,good,Female,Asgardian,6'2 // 188 cm,425 lb // 191 kg,Blue,Black,,495
99,Vision,100,75,55,95,100,70,Yes,Marvel Comics,good,Male,Android,6'3 // 191 cm,300 lb // 135 kg,Yellow,No Hair,Red,495
100,Air-Walker,80,85,100,85,100,40,No,Marvel Comics,bad,Male,,6'2 // 188 cm,240 lb // 108 kg,Blue,White,,490
101,Destroyer,80,95,60,100,85,70,No,Marvel Comics,bad,Male,,6'2 // 188 cm,850 lb // 383 kg,,,,490
102,Ultron,95,85,45,100,100,65,Yes,Marvel Comics,bad,Male,Android,6'9 // 206 cm,735 lb // 331 kg,Red,,Silver,490
103,Ardina,85,100,100,80,100,25,No,Marvel Comics,good,Female,Alien,6'4 // 193 cm,218 lb // 98 kg,White,Orange,Yellow,490
104,Dr Manhattan,100,100,45,100,100,45,Yes,DC Comics,good,Male,Human / Cosmic,- // 0 cm,- lb // 0 kg,White,No Hair,Blue,490
105,Hawkwoman II,75,85,90,75,80,85,No,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,490
106,Valkyrie,75,85,75,85,75,95,Yes,Marvel Comics,good,Female,,6'3 // 191 cm,475 lb // 214 kg,Blue,Blond,,490
107,Anti-Venom,90,60,65,90,100,85,Yes,Marvel Comics,neutral,Male,Symbiote,7'6 // 229 cm,795 lb // 358 kg,Blue,Blond,,490
108,Brainiac,100,95,65,90,60,75,No,DC Comics,bad,Male,Android,6'6 // 198 cm,300 lb // 135 kg,Green,No Hair,Green,485
109,Carnage,85,65,70,85,90,90,No,Marvel Comics,bad,Male,Symbiote,6'1 // 185 cm,190 lb // 86 kg,Green,Red,,485
110,Onslaught,95,100,35,100,100,55,No,Marvel Comics,bad,Male,Mutant,10'0 // 305 cm,900 lb // 405 kg,Red,No Hair,,485
111,Sauron,95,85,35,100,100,70,No,J. R. R. Tolkien,bad,Male,Maiar,9'2 // 279 cm,- lb // 0 kg,,,,485
112,Captain Planet,80,90,75,80,100,60,No,Marvel Comics,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Red,Green,,485
113,Energy,80,80,85,80,85,75,No,HarperCollins,good,Female,,- // 0 cm,- lb // 0 kg,,,,485
114,Green Goblin IV,90,90,85,80,65,75,No,Marvel Comics,good,Male,,5'10 // 178 cm,175 lb // 79 kg,Green,Brown,,485
115,Hollow,85,80,80,80,80,80,No,Marvel Comics,good,Female,,5'7 // 170 cm,- lb // 0 kg,Blue,Red,,485
116,X-Man,95,55,55,95,100,85,No,Marvel Comics,good,Male,,5'9 // 175 cm,135 lb // 61 kg,Blue,Brown,,485
117,Cy-Gor,60,100,75,90,85,70,No,Image Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,480
118,Hela,85,100,50,100,100,45,No,Marvel Comics,bad,Female,Asgardian,7'0 // 213 cm,500 lb // 225 kg,Green,Black,,480
119,Ares,90,85,35,80,85,105,No,Marvel Comics,good,Male,,6'1 // 185 cm,600 lb // 270 kg,Brown,Brown,,480
120,Beta Ray Bill,85,80,35,95,100,85,No,Marvel Comics,good,Male,,6'7 // 201 cm,480 lb // 216 kg,,No Hair,,480
121,Nova,85,60,100,100,100,35,No,Marvel Comics,good,Female,Human / Cosmic,5'4 // 163 cm,130 lb // 59 kg,White,Red,Yellow,480
122,Vulcan,70,70,75,90,100,75,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,Black,Black,,480
123,Warlock,95,40,80,95,75,95,Yes,Marvel Comics,good,Male,,6'2' // 188 cm,240 lb // 108 kg,Red,Blond,,480
124,Venom,90,60,65,85,90,85,Yes,Marvel Comics,bad,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,Blue,Auburn,,475
125,Cerebra,85,70,70,80,80,90,No,Marvel Comics,good,Female,Mutant,- // 0 cm,- lb // 0 kg,,,,475
126,Miss Martian,85,85,60,100,100,45,No,DC Comics,good,Female,,5'10 // 178 cm,135 lb // 61 kg,Red,Red,,475
127,She-Ra,90,100,45,70,100,70,No,Mattel,good,Female,Human,- // 0 cm,- lb // 0 kg,,,,475
128,Juggernaut,75,100,45,100,85,70,Yes,Marvel Comics,neutral,Male,Human,9'5 // 287 cm,1900 lb // 855 kg,Blue,Red,,475
129,Red Hulk,80,100,50,85,85,75,No,Marvel Comics,neutral,Male,Human / Radiation,7'0 // 213 cm,1400 lb // 630 kg,Yellow,Black,Red,475
130,Abomination,85,80,55,90,65,95,Yes,Marvel Comics,bad,Male,Human / Radiation,6'8 // 203 cm,980 lb // 441 kg,Green,No Hair,,470
131,Evil Deadpool,85,35,50,100,100,100,Yes,Marvel Comics,bad,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,White,Red,,470
132,Swamp Thing,95,95,25,100,100,55,No,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,Red,No Hair,Green,470
133,Black Widow II,90,60,80,75,70,95,No,Marvel Comics,good,Female,,5'7' // 170 cm,135 lb // 61 kg,Blue,Blond,,470
134,Namor,85,95,60,70,75,85,Yes,Marvel Comics,good,Male,Atlantean,6'2 // 188 cm,278 lb // 125 kg,Grey,Black,,470
135,Spider-Man,100,55,70,75,75,95,Yes,Marvel Comics,good,Male,Human,5'10 // 178 cm,165 lb // 74 kg,Hazel,Brown,,470
136,Toxin,90,80,45,85,100,70,Yes,Marvel Comics,good,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,Black,Blond,,470
137,Deadpool,85,35,50,100,100,100,Yes,Marvel Comics,neutral,Male,Mutant,6'2 // 188 cm,210 lb // 95 kg,Brown,No Hair,,470
138,Bloodaxe,85,80,35,80,100,85,No,Marvel Comics,bad,Female,Human,7'2 // 218 cm,1100 lb // 495 kg,Blue,Brown,,465
139,Ego,95,80,85,100,75,30,Yes,Marvel Comics,bad,Female,,- // 0 cm,- lb // 0 kg,,,,465
140,Magneto,95,80,30,85,95,80,No,Marvel Comics,bad,Male,Mutant,6'2 // 188 cm,190 lb // 86 kg,Grey,White,,465
141,Flash II,95,50,100,60,100,60,Yes,DC Comics,good,Male,Human,6'0 // 183 cm,195 lb // 88 kg,Blue,Blond,,465
142,Hybrid,85,65,60,75,100,80,No,Marvel Comics,good,Male,Symbiote,5'9 // 175 cm,172 lb // 77 kg,Brown,Black,,465
143,Kilowog,95,90,55,45,100,80,No,DC Comics,good,Male,Bolovaxian,7'8 // 234 cm,720 lb // 324 kg,Red,No Hair,Pink,465
144,Stargirl,85,80,50,90,90,70,No,DC Comics,good,Female,Human,5'5 // 165 cm,137 lb // 62 kg,Blue,Blond,,465
145,Toxin,80,75,70,85,85,70,No,Marvel Comics,good,Male,Symbiote,6'2 // 188 cm,215 lb // 97 kg,Blue,Brown,,465
146,Wonder Man,90,100,55,90,65,65,Yes,Marvel Comics,good,Male,,6'2 // 188 cm,380 lb // 171 kg,Red,Black,,465
147,Gamora,90,85,45,85,55,100,No,Marvel Comics,good,Female,Zen-Whoberian,6'0 // 183 cm,170 lb // 77 kg,Yellow,Black,Green,460
148,Mera,80,65,80,60,95,80,Yes,DC Comics,good,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,Blue,Red,,460
149,Wolverine,85,35,50,100,90,100,Yes,Marvel Comics,good,Male,Mutant,5'3 // 160 cm,300 lb // 135 kg,Blue,Black,,460
150,Sandman,80,75,50,95,100,60,No,Marvel Comics,neutral,Male,Human,6'1 // 185 cm,450 lb // 203 kg,Brown,Brown,,460
151,Loki,95,65,50,85,100,60,Yes,Marvel Comics,bad,Male,Asgardian,6'4 // 193 cm,525 lb // 236 kg,Green,Black,,455
152,Mephisto,95,85,35,95,100,45,No,Marvel Comics,bad,Male,,6'6 // 198 cm,310 lb // 140 kg,White,Black,,455
153,Abin Sur,80,90,55,65,100,65,No,DC Comics,good,Male,Ungaran,6'1 // 185 cm,200 lb // 90 kg,Blue,No Hair,Red,455
154,King Kong,80,100,75,75,50,75,No,,good,Male,Animal,100'0 // 3050 cm,20000000 lb // 9000000 kg,Yellow,Black,,455
155,Steel,95,85,55,90,65,65,No,DC Comics,good,Male,Human,6'7 // 201 cm,290 lb // 131 kg,Brown,No Hair,,455
156,Doctor Doom II,95,75,55,75,80,70,No,Marvel Comics,bad,Male,,6'7 // 201 cm,293 lb // 132 kg,Brown,Brown,,450
157,Godzilla,75,100,55,100,100,20,Yes,,bad,Male,Kaiju,354'4 // 10800 cm,200000000 lb // 90000000 kg,,,Grey,450
158,Kang,100,50,60,70,100,70,Yes,Marvel Comics,bad,Male,,6'3 // 191 cm,230 lb // 104 kg,Brown,Brown,,450
159,T-X,90,65,30,85,100,80,No,Dark Horse Comics,bad,Female,Cyborg,- // 0 cm,330 lb // 149 kg,,,Silver,450
160,Green Lantern,75,90,55,65,100,65,Yes,DC Comics,good,Male,Human-Vuldarian,6'2 // 188 cm,210 lb // 95 kg,Blue,Red,,450
161,Guardian,90,65,65,75,80,75,No,Marvel Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,Brown,Black,,450
162,Krypto,55,80,100,90,85,40,No,DC Comics,good,Male,Kryptonian,0'25 // 64 cm,40 lb // 18 kg,Blue,White,,450
163,Master Chief,90,75,35,80,70,100,No,Microsoft,good,Male,Human / Altered,7' // 213 cm,- lb // 0 kg,Brown,Brown,,450
164,She-Hulk,95,100,45,100,40,70,Yes,Marvel Comics,good,Female,Human,6'7 // 201 cm,700 lb // 315 kg,Green,Green,,450
165,Sinestro,90,85,55,65,100,55,Yes,DC Comics,neutral,Male,Korugaran,6'7 // 201 cm,205 lb // 92 kg,Black,Black,Red,450
166,Absorbing Man,75,80,25,100,100,65,No,Marvel Comics,bad,Male,Human,6'4 // 193 cm,270 lb // 122 kg,Blue,No Hair,,445
167,Alex Mercer,80,80,45,90,100,50,No,Wildstorm,bad,Male,Human,- // 0 cm,- lb // 0 kg,,,,445
168,T-850,90,80,25,90,85,75,No,Dark Horse Comics,bad,Male,Cyborg,- // 0 cm,440 lb // 198 kg,Red,,,445
169,Angel,90,30,60,90,100,75,No,Dark Horse Comics,good,Male,Vampire,- // 0 cm,- lb // 0 kg,,,,445
170,Genesis,80,75,75,70,80,65,No,Marvel Comics,good,Male,,6'1 // 185 cm,191 lb // 86 kg,Blue,Blond,,445
171,Green Lantern,85,90,50,60,100,60,Yes,DC Comics,good,Male,Human,5'11 // 180 cm,175 lb // 79 kg,Green,Black,,445
172,Groot,90,85,35,70,100,65,Yes,Marvel Comics,good,Male,Flora Colossus,23'0 // 701 cm,8200 lb // 4000 kg,Yellow,,,445
173,Marvel Girl,85,85,50,45,100,80,No,Marvel Comics,good,Female,,5'7' // 170 cm,125 lb // 56 kg,Green,Red,,445
174,Tracy Strauss,80,55,65,95,90,60,No,NBC - Heroes,good,Female,,- // 0 cm,- lb // 0 kg,,,,445
175,Atlas,85,100,45,100,30,80,No,DC Comics,bad,Male,God / Eternal,6'6 // 198 cm,280 lb // 126 kg,Blue,Brown,,440
176,Doctor Doom,100,35,20,100,100,85,Yes,Marvel Comics,bad,Male,Human,6'7 // 201 cm,415 lb // 187 kg,Brown,Brown,,440
177,Fixer,90,70,70,75,70,65,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,Red,No Hair,,440
178,King Shark,80,90,50,90,90,40,No,DC Comics,bad,Male,Animal,- // 0 cm,- lb // 0 kg,Black,No Hair,,440
