ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alter_Egos,Publisher,Alignment,Gender,Race,Height,Weight,Eye,Hair,Skin,Total_Power
179,Mister Sinister,100,50,50,90,100,50,No,Marvel Comics,bad,Male,Human / Altered,6'5 // 196 cm,285 lb // 128 kg,Red,Black,,440
180,Siren,80,65,80,60,95,60,No,DC Comics,bad,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,Blue,Purple,,440
181,Atlas,85,80,25,100,100,50,Yes,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,225 lb // 101 kg,Brown,Red,,440
182,Batgirl III,80,65,70,70,65,90,Yes,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,440
183,Frigga,75,80,50,85,85,65,No,Marvel Comics,good,Female,,5'11' // 180 cm,370 lb // 167 kg,Blue,White,,440
184,Green Lantern,80,85,45,65,100,65,No,DC Comics,good,Male,Human,6'1 // 185 cm,201 lb // 90 kg,Green,Black,,440
185,Hawkgirl,80,30,55,100,100,75,Yes,DC Comics,good,Female,,5'9 // 175 cm,135 lb // 61 kg,Green,Red,,440
186,Iceman,85,35,55,100,100,65,Yes,Marvel Comics,good,Male,Mutant,5'8 // 173 cm,145 lb // 65 kg,Brown,Brown,,440
187,Osiris,90,85,60,95,65,45,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Brown,Brown,,440
188,Savage Dragon,85,70,55,85,70,75,No,Image Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,440
189,Skaar,80,85,30,90,70,85,No,Marvel Comics,good,Male,,6'6 // 198 cm,400 lb // 180 kg,Green,Black,,440
190,Spider-Man,85,65,75,70,70,75,No,Marvel Comics,good,Male,Human,5'10 // 178 cm,170 lb // 77 kg,Red,Brown,,440
191,Thunderstrike,85,80,70,85,45,75,No,Marvel Comics,good,Male,,6'6 // 198 cm,640 lb // 288 kg,Blue,Blond,,440
192,Ymir,80,100,30,100,100,30,No,Marvel Comics,good,Male,Frost Giant,100000 // 30480 cm,- lb // 0 kg,White,No Hair,White,440
193,Bloodwraith,65,75,65,70,70,90,No,Marvel Comics,bad,Male,,10000 // 3050 cm,- lb // 0 kg,White,No Hair,,435
194,Maxima,90,90,35,60,85,75,No,DC Comics,bad,Female,,5'11 // 180 cm,160 lb // 72 kg,Brown,Red,,435
195,Omega Red,70,70,50,85,70,90,No,Marvel Comics,bad,Male,,6'11 // 211 cm,425 lb // 191 kg,Red,Blond,,435
196,T-1000,90,35,35,100,100,75,No,Dark Horse Comics,bad,Male,Android,6'0 // 183 cm,325 lb // 146 kg,,,Silver,435
197,Cannonball,80,30,70,100,95,60,No,Marvel Comics,good,Male,,6'0 // 183 cm,181 lb // 81 kg,Blue,Blond,,435
198,Crimson Dynamo,85,70,60,75,80,65,No,Marvel Comics,good,Male,,5'11 // 180 cm,230 lb // 104 kg,Brown,No Hair,,435
199,Fin Fang Foom,80,85,25,100,75,70,No,Marvel Comics,good,Male,Kakarantharaian,32'0 // 975 cm,40000 lb // 18000 kg,Red,No Hair,Green,435
200,Firestorm,75,80,60,80,100,40,Yes,DC Comics,good,Male,Human,6'2 // 188 cm,202 lb // 91 kg,Blue,Auburn,,435
201,Hellstorm,80,65,60,75,90,65,No,Marvel Comics,good,Male,,6'1' // 185 cm,180 lb // 81 kg,Red,Red,,435
202,Etrigan,80,85,20,100,100,50,No,DC Comics,neutral,Male,Demon,6'4 // 193 cm,452 lb // 203 kg,Red,No Hair,Yellow,435
203,Blizzard,75,75,60,70,85,65,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,430
204,Spider-Carnage,65,75,70,75,70,75,Yes,Marvel Comics,bad,Male,Symbiote,- // 0 cm,- lb // 0 kg,,,,430
205,Colossus,85,85,35,100,45,80,Yes,Marvel Comics,good,Male,Mutant,7'5 // 226 cm,500 lb // 225 kg,Grey,Black,,430
206,Green Lantern,80,90,45,55,100,60,No,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,Brown,Black,,430
207,Hawkman,90,40,60,75,85,80,No,DC Comics,good,Male,Alien,6'1 // 185 cm,195 lb // 88 kg,Blue,Brown,,430
208,Legion,80,100,45,30,100,75,No,Marvel Comics,good,Male,Mutant,5'9 // 175 cm,130 lb // 59 kg,Green,Black,,430
209,Plastic Man,80,65,25,100,100,60,No,DC Comics,good,Male,Human,6'1 // 185 cm,178 lb // 80 kg,Blue,Black,,430
210,Doppelganger,50,65,60,95,70,85,No,Marvel Comics,bad,Male,,6'5 // 196 cm,230 lb // 104 kg,White,No Hair,,425
211,Birdman,90,55,70,70,70,70,No,Hanna-Barbera,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,425
212,Booster Yellow,85,85,45,70,100,40,No,DC Comics,good,Male,Human,6'5 // 196 cm,215 lb // 97 kg,Blue,Blond,,425
213,Brother Voodoo,90,60,50,70,95,60,No,Marvel Comics,good,Male,Human,6'0 // 183 cm,220 lb // 99 kg,Brown,Brown,,425
214,Emma Frost,90,65,35,90,100,45,Yes,Marvel Comics,good,Female,,5'10' // 178 cm,144 lb // 65 kg,Blue,Blond,,425
215,Franklin Richards,85,80,50,60,100,50,No,Marvel Comics,good,Male,Mutant,4'8 // 142 cm,100 lb // 45 kg,Blue,Blond,,425
216,Green Lantern,80,90,50,50,100,55,No,DC Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,Green,Brown,,425
217,Iron Fist,90,55,35,50,95,100,No,Marvel Comics,good,Male,Human,5'11 // 180 cm,175 lb // 79 kg,Blue,Blond,,425
218,Kid Flash II,70,45,100,65,80,65,Yes,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,425
219,Silk,90,50,75,70,75,65,No,Marvel Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,Brown,Black,,425
220,Azazel,80,15,50,95,100,80,No,Marvel Comics,bad,Male,Neyaphem,6'0 // 183 cm,149 lb // 67 kg,Yellow,Black,Red,420
221,Gorilla Grodd,95,55,35,70,100,65,No,DC Comics,bad,Male,Gorilla,6'6 // 198 cm,600 lb // 270 kg,Yellow,Black,,420
222,Metallo,90,55,25,95,90,65,No,DC Comics,bad,Male,Android,6'5 // 196 cm,200 lb // 90 kg,Green,Brown,,420
223,Utgard-Loki,80,80,25,85,85,65,No,Marvel Comics,bad,Male,Frost Giant,50'0 // 1520 cm,128000 lb // 58000 kg,Blue,White,,420
224,Venom III,85,75,35,90,75,60,Yes,Marvel Comics,bad,Male,Symbiote,7'6 // 229 cm,742 lb // 334 kg,Brown,Brown,,420
225,Animal Man,80,50,50,85,75,80,Yes,DC Comics,good,Male,Human,6'0 // 183 cm,185 lb // 83 kg,Blue,Blond,,420
226,Ghost Rider,80,55,25,100,100,60,Yes,Marvel Comics,good,Male,Demon,6'2 // 188 cm,220 lb // 99 kg,Red,No Hair,,420
227,Quicksilver,85,30,100,60,85,60,No,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,175 lb // 79 kg,Blue,Silver,,420
228,Spider-Gwen,90,55,65,70,70,70,Yes,Marvel Comics,good,Female,Human,5'5 // 165 cm,125 lb // 56 kg,Blue,Blond,,420
229,Thing,90,85,25,100,40,80,No,Marvel Comics,good,Male,Human / Radiation,6'0 // 183 cm,500 lb // 225 kg,Blue,No Hair,,420
230,Cogliostro,70,65,60,80,80,60,Yes,Image Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,415
231,Predator,85,30,25,85,100,90,No,Dark Horse Comics,bad,Male,Yautja,7'0 // 213 cm,520 lb // 234 kg,,,,415
232,Bi-Beast,95,100,60,75,30,55,No,Marvel Comics,good,Male,Android,7'6 // 229 cm,350 lb // 158 kg,Black,No Hair,Orange,415
233,Cyborg,90,55,45,85,75,65,Yes,DC Comics,good,Male,Cyborg,6'6 // 198 cm,385 lb // 173 kg,Brown,Black,,415
234,Green Lantern,85,80,25,90,100,35,No,DC Comics,good,Male,,5'11 // 180 cm,201 lb // 90 kg,Blue,Blond,,415
235,Lyja,70,65,50,60,85,85,No,Marvel Comics,good,Female,,- // 0 cm,- lb // 0 kg,Green,Green,,415
236,Darth Maul,80,50,50,30,100,100,No,George Lucas,bad,Male,Dathomirian Zabrak,5'7 // 170 cm,- lb // 0 kg,Yellow,,Red,410
237,Moonstone,80,70,50,55,75,80,Yes,Marvel Comics,bad,Female,,5'11 // 180 cm,130 lb // 59 kg,Blue,Blond,,410
238,Sabretooth,80,50,40,90,50,100,Yes,Marvel Comics,bad,Male,Mutant,6'6 // 198 cm,380 lb // 171 kg,Amber,Blond,,410
239,Scorpion,80,55,60,85,50,80,Yes,Marvel Comics,bad,Male,Human,6'11 // 211 cm,689 lb // 310 kg,Brown,Brown,,410
240,Abe Sapien,95,30,35,65,100,85,No,Dark Horse Comics,good,Male,Icthyo Sapien,6'3 // 191 cm,145 lb // 65 kg,Blue,No Hair,Blue,410
241,Agent Zero,90,30,40,80,75,95,No,Marvel Comics,good,Male,,6'3 // 191 cm,230 lb // 104 kg,,,,410
242,Cable,95,50,25,60,100,80,Yes,Marvel Comics,good,Male,Mutant,6'8 // 203 cm,350 lb // 158 kg,Blue,White,,410
243,Hellboy,85,55,25,95,75,75,Yes,Dark Horse Comics,good,Male,Demon,8'6 // 259 cm,350 lb // 158 kg,Yellow,Black,,410
244,Shadow King,90,15,30,100,100,75,No,Marvel Comics,good,Male,,6'1 // 185 cm,330 lb // 149 kg,Red,,,410
245,Starfire,80,80,35,85,60,70,No,DC Comics,good,Female,Tamaranean,6'4 // 193 cm,158 lb // 71 kg,Green,Auburn,Orange,410
246,X-23,90,25,45,100,55,95,Yes,Marvel Comics,good,Female,Mutant / Clone,5'1 // 155 cm,110 lb // 50 kg,Green,Black,,410
247,Annihilus,90,80,50,60,60,65,No,Marvel Comics,bad,Male,,5'11 // 180 cm,200 lb // 90 kg,Green,No Hair,,405
248,Darth Vader,85,50,35,35,100,100,Yes,George Lucas,bad,Male,Cyborg,6'6 // 198 cm,300 lb // 135 kg,Yellow,No Hair,,405
249,Lizard,80,55,60,70,80,60,Yes,Marvel Comics,bad,Male,Human,6'8 // 203 cm,510 lb // 230 kg,Red,No Hair,,405
250,Rhino,65,80,45,90,40,85,No,Marvel Comics,bad,Male,Human / Radiation,6'5 // 196 cm,710 lb // 320 kg,Brown,Brown,,405
251,Arsenal,80,55,60,60,65,85,Yes,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,,,,405
252,Ray,80,10,95,100,100,20,No,DC Comics,good,Male,Human,5'10 // 178 cm,155 lb // 70 kg,Green,Red,,405
253,Spider-Man,65,65,70,65,70,70,No,Marvel Comics,good,Male,Human,5'2 // 157 cm,125 lb // 56 kg,Brown,Black,,405
254,Purple,90,65,50,50,100,50,No,DC Comics,neutral,Female,Alien,- // 0 cm,- lb // 0 kg,,Purple,,405
255,Beetle,70,60,65,65,75,65,No,Marvel Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,400
256,Exodus,85,85,30,30,100,70,No,Marvel Comics,bad,Male,Mutant,6'0 // 183 cm,195 lb // 88 kg,Blue,Black,Red,400
257,Aqualad,85,45,45,75,90,60,No,DC Comics,good,Male,Atlantean,5'10 // 178 cm,235 lb // 106 kg,Blue,Black,,400
258,Firestorm,80,55,60,60,100,45,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Brown,Black,,400
259,Polaris,85,75,45,50,100,45,No,Marvel Comics,good,Female,Mutant,5'7 // 170 cm,115 lb // 52 kg,Green,Green,,400
260,Quake,90,40,50,45,85,90,No,Marvel Comics,good,Female,Human-Inhuman,5'4 // 163 cm,115 lb // 52 kg,Brown,Black,,400
261,Red Tornado,90,40,70,60,100,40,Yes,DC Comics,good,Male,Android,6'1 // 185 cm,325 lb // 146 kg,Green,No Hair,,400
262,Silk Spectre II,85,50,70,55,50,90,No,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,400
263,Vindicator,85,65,55,65,60,70,Yes,Marvel Comics,good,Female,Human,5'5 // 165 cm,120 lb // 54 kg,Green,Red,,400
264,Yoda,95,55,35,25,100,90,No,George Lucas,good,Male,Yoda's species,2'2 // 66 cm,38 lb // 17 kg,Brown,White,Green,400
265,Black Manta,90,30,50,60,80,85,Yes,DC Comics,bad,Male,Human,6'2 // 188 cm,205 lb // 92 kg,Black,No Hair,,395
266,Iron Monger,95,65,25,90,60,60,Yes,Marvel Comics,bad,Male,,- // 0 cm,4230 lb // 2000 kg,Blue,No Hair,,395
267,Jason Voorhees,85,35,25,100,100,50,Yes,Dark Horse Comics,bad,Male,Human,6'3 // 191 cm,250 lb // 113 kg,Brown,Red,,395
268,Mach-IV,90,40,60,85,60,60,No,Marvel Comics,bad,Male,,5'11 // 180 cm,175 lb // 79 kg,Brown,Brown,,395
269,Arachne,80,50,50,70,75,70,No,Marvel Comics,good,Female,Human,5'9 // 175 cm,140 lb // 63 kg,Blue,Blond,,395
270,Captain Britain,90,80,50,60,35,80,No,Marvel Comics,good,Male,Human,6'6 // 198 cm,257 lb // 116 kg,Blue,Blond,,395
271,Citizen Steel,80,95,35,100,25,60,Yes,DC Comics,good,Male,Human,6'0 // 183 cm,378 lb // 170 kg,Green,Red,,395
272,Doc Samson,90,80,35,80,40,70,No,Marvel Comics,good,Male,Human / Radiation,6'6 // 198 cm,380 lb // 171 kg,Blue,Green,,395
273,Luke Skywalker,85,40,45,25,100,100,Yes,George Lucas,good,Male,Human,5'6 // 168 cm,170 lb // 77 kg,Blue,Blond,,395
274,Penance II,65,45,70,65,85,65,Yes,Marvel Comics,good,Male,,6' // 183 cm,197 lb // 89 kg,Blue,Blond,,395
275,Black Flash,75,10,100,80,100,30,No,DC Comics,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,395
276,Deathstroke,90,30,35,100,50,90,Yes,DC Comics,neutral,Male,Human,6'4 // 193 cm,225 lb // 101 kg,Blue,White,,395
277,Anti-Spawn,75,60,55,65,70,65,No,Image Comics,bad,Male,,- // 0 cm,- lb // 0 kg,,,,390
278,Scarlet Witch,100,10,30,70,100,80,Yes,Marvel Comics,bad,Female,Mutant,5'7 // 170 cm,132 lb // 59 kg,Blue,Brown,,390
279,Solomon Grundy,55,95,15,100,95,30,No,DC Comics,bad,Male,Zombie,9'2 // 279 cm,971 lb // 437 kg,Black,White,,390
280,Aurora,85,10,100,60,75,60,No,Marvel Comics,good,Female,Mutant,5'11 // 180 cm,140 lb // 63 kg,Blue,Black,,390
281,Blue Beetle II,85,45,55,65,60,80,No,DC Comics,good,Male,,6'0 // 183 cm,190 lb // 86 kg,Blue,Brown,,390
282,Captain Marvel II,90,85,30,90,35,60,No,DC Comics,good,Male,Human,5'9 // 175 cm,165 lb // 74 kg,Blue,Black,,390
283,Firelord,75,65,75,90,55,30,No,Marvel Comics,good,Male,,6'4' // 193 cm,220 lb // 99 kg,White,Yellow,,390
284,Flash III,85,10,100,60,100,35,Yes,DC Comics,good,Male,Human,6'0 // 183 cm,190 lb // 86 kg,,,,390
285,Howard the Duck,75,55,55,70,60,75,No,Marvel Comics,good,Male,,2'7' // 79 cm,40 lb // 18 kg,Brown,Yellow,,390
286,Jean Grey,100,80,25,20,95,70,Yes,Marvel Comics,good,Female,Mutant,5'6 // 168 cm,115 lb // 52 kg,Green,Red,,390
287,Karate Kid,85,65,70,20,50,100,No,DC Comics,good,Male,Human,5'8 // 173 cm,160 lb // 72 kg,Brown,Brown,,390
288,Mantis,85,10,35,80,100,80,No,Marvel Comics,good,Female,Human-Kree,5'6 // 168 cm,115 lb // 52 kg,Green,Black,Green,390
289,Mimic,85,70,50,60,80,45,No,Marvel Comics,good,Male,,6'2 // 188 cm,225 lb // 101 kg,Brown,Brown,,390
290,Power Man,50,80,40,90,50,80,Yes,Marvel Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,,,,390
291,Scarlet Spider,90,55,60,75,50,60,Yes,Marvel Comics,good,Male,Human,5'10' // 178 cm,165 lb // 74 kg,Blue,Blond,,390
292,Klaw,85,40,35,100,65,60,No,Marvel Comics,bad,Male,Human,6'2 // 188 cm,216 lb // 97 kg,Red,No Hair,Red,385
293,Lady Deathstrike,85,30,45,85,50,90,No,Marvel Comics,bad,Female,Cyborg,5'9 // 175 cm,128 lb // 58 kg,Brown,Black,,385
294,Lex Luthor,100,55,25,65,70,70,No,DC Comics,bad,Male,Human,6'2' // 188 cm,210 lb // 95 kg,Green,No Hair,,385
295,Blue Beetle III,80,35,60,80,100,30,No,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,Brown,Black,,385
296,Drax the Destroyer,80,80,25,85,50,65,Yes,Marvel Comics,good,Male,Human / Altered,6'4 // 193 cm,680 lb // 306 kg,Red,No Hair,Green,385
297,Giant-Man,95,85,40,65,55,45,Yes,Marvel Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,,,,385
298,Impulse,80,10,100,60,75,60,Yes,DC Comics,good,Male,Human,5'7 // 170 cm,145 lb // 65 kg,Yellow,Auburn,,385
299,Luke Cage,80,65,30,95,45,70,Yes,Marvel Comics,good,Male,Human,6'6 // 198 cm,425 lb // 191 kg,Brown,Black,,385
300,Namorita,80,75,50,70,40,70,No,Marvel Comics,good,Female,,5'6 // 168 cm,225 lb // 101 kg,Blue,Blond,,385
301,Offspring,80,10,35,100,100,60,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,385
302,Warpath,75,75,50,70,30,85,Yes,Marvel Comics,good,Male,Mutant,7'2 // 218 cm,350 lb // 158 kg,Brown,Black,,385
303,Wonder Girl,90,90,25,80,40,60,No,DC Comics,good,Female,Demi-God,5'5 // 165 cm,114 lb // 51 kg,Blue,Blond,,385
304,Mandarin,100,30,25,30,100,95,No,Marvel Comics,bad,Male,Human,6'2 // 188 cm,215 lb // 97 kg,Blue,White,,380
305,Molten Man,80,75,25,85,55,60,No,Marvel Comics,bad,Male,,6'5 // 196 cm,550 lb // 248 kg,Yellow,Yellow,,380
306,Poison Ivy,95,15,30,70,100,70,No,DC Comics,bad,Female,Human,5'6 // 168 cm,110 lb // 50 kg,Green,Red,Green,380
307,Sebastian Shaw,85,85,15,95,40,60,Yes,Marvel Comics,bad,Male,Mutant,- // 0 cm,- lb // 0 kg,,,,380
308,Beast,100,50,40,60,45,85,No,Marvel Comics,good,Male,Mutant,5'11 // 180 cm,402 lb // 181 kg,Blue,Blue,Blue,380
309,Flash IV,85,10,100,35,100,50,Yes,DC Comics,good,Male,Human,5'2 // 157 cm,115 lb // 52 kg,Yellow,Auburn,,380
310,Husk,85,65,35,80,50,65,No,Marvel Comics,good,Female,Mutant,5'7 // 170 cm,128 lb // 58 kg,Blue,Blond,,380
311,Jack of Hearts,85,55,100,30,80,30,No,Marvel Comics,good,Male,Human,5'1 // 155 cm,175 lb // 79 kg,Blue,Brown,,380
312,Northstar,80,20,85,60,65,70,No,Marvel Comics,good,Male,,5'11 // 180 cm,185 lb // 83 kg,Blue,Black,,380
313,Shatterstar,85,50,45,65,50,85,Yes,Marvel Comics,good,Male,,6'3 // 191 cm,195 lb // 88 kg,Brown,Red,,380
314,Spider-Girl,85,40,60,65,55,75,No,Marvel Comics,good,Female,Human,5'7 // 170 cm,119 lb // 54 kg,Blue,Brown,,380
315,Ultragirl,80,80,35,70,35,80,No,Marvel Comics,good,Female,,5'6 // 168 cm,233 lb // 105 kg,Blue,Blond,,380
316,Giganta,95,90,25,85,35,45,No,DC Comics,bad,Female,,20500 // 6250 cm,1400 lb // 630 kg,Green,Red,,375
317,Venom II,80,60,50,70,55,60,No,Marvel Comics,bad,Male,,5'9 // 175 cm,110 lb // 50 kg,Brown,Black,,375
318,Adam Monroe,85,10,15,100,100,65,No,NBC - Heroes,good,Male,,- // 0 cm,- lb // 0 kg,Blue,Blond,,375
319,Atom IV,85,55,55,55,60,65,No,DC Comics,good,Male,,- // 0 cm,160 lb // 72 kg,Brown,Black,,375
320,Batman,95,40,30,55,65,90,No,DC Comics,good,Male,Human,5'10 // 178 cm,170 lb // 77 kg,Blue,Black,,375
321,Crimson Crusader,60,60,40,65,85,65,No,Marvel Comics,good,Male,,- // 0 cm,- lb // 0 kg,Blue,Auburn,,375
322,Elastigirl,85,35,35,95,55,70,No,Dark Horse Comics,good,Female,Human,5'6 // 168 cm,125 lb // 56 kg,Brown,Brown,,375
323,Invisible Woman,95,10,30,85,95,60,No,Marvel Comics,good,Female,Human / Radiation,5'6 // 168 cm,120 lb // 54 kg,Blue,Blond,,375
324,Isis,90,50,75,50,50,60,No,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,,,,375
325,Psylocke,85,35,25,40,100,90,Yes,Marvel Comics,good,Female,Mutant,5'11 // 180 cm,155 lb // 70 kg,Blue,Purple,,375
326,Phantom Stranger,100,10,25,100,100,40,No,DC Comics,neutral,Male,Human,6'2 // 188 cm,185 lb // 83 kg,Black,Black,,375
327,Q,100,15,20,100,100,40,No,Star Trek,neutral,Male,God / Eternal,- // 0 cm,- lb // 0 kg,,,,375
328,Bane,95,40,25,60,55,95,No,DC Comics,bad,Male,Human,6'8 // 203 cm,400 lb // 180 kg,,,,370
329,Blob,60,85,25,95,30,75,No,Marvel Comics,bad,Male,,5'10 // 178 cm,510 lb // 230 kg,Brown,Brown,,370
330,Evilhawk,80,35,35,70,85,65,No,Marvel Comics,bad,Male,Alien,6'3 // 191 cm,235 lb // 106 kg,Red,Black,Green,370
331,Frenzy,85,55,35,100,40,55,No,Marvel Comics,bad,Female,,6'11 // 211 cm,230 lb // 104 kg,Brown,Black,,370
332,Hobgoblin,65,60,60,60,65,60,Yes,Marvel Comics,bad,Male,,5'11 // 180 cm,185 lb // 83 kg,Blue,Grey,,370
333,Battlestar,80,55,35,75,50,75,No,Marvel Comics,good,Male,,6'6 // 198 cm,295 lb // 133 kg,Brown,Black,,370
334,Cloak,85,10,50,65,100,60,Yes,Marvel Comics,good,Male,,7'5 // 226 cm,155 lb // 70 kg,Brown,Black,,370
335,Deadman,80,10,35,100,100,45,No,DC Comics,good,Male,Human,6'0 // 183 cm,201 lb // 90 kg,Blue,Black,,370
336,Doctor Fate,95,20,25,80,100,50,Yes,DC Comics,good,Male,Human,6'2 // 188 cm,197 lb // 89 kg,Blue,Blond,,370
337,Doctor Strange,100,10,15,85,100,60,Yes,Marvel Comics,good,Male,Human,6'2 // 188 cm,180 lb // 81 kg,Grey,Black,,370
338,Human Torch,85,15,65,70,90,45,No,Marvel Comics,good,Male,Human / Radiation,5'10 // 178 cm,170 lb // 77 kg,Blue,Blond,,370
339,Namora,80,85,45,45,50,65,No,Marvel Comics,good,Female,,5'11 // 180 cm,189 lb // 85 kg,Blue,Blond,,370
340,Spider-Woman,80,45,45,60,70,70,No,Marvel Comics,good,Female,Human,5'10 // 178 cm,130 lb // 59 kg,Green,Black,,370
341,Sunspot,85,65,35,25,90,70,No,Marvel Comics,good,Male,Mutant,5'8 // 173 cm,170 lb // 77 kg,Brown,Black,,370
342,Alien,80,30,45,90,60,60,No,Dark Horse Comics,bad,Male,Xenomorph XX121,8'0 // 244 cm,375 lb // 169 kg,,No Hair,Black,365
343,A-Bomb,75,100,20,80,25,65,No,Marvel Comics,good,Male,Human,6'8 // 203 cm,980 lb // 441 kg,Yellow,No Hair,,365
344,Bishop,85,15,25,75,100,65,No,Marvel Comics,good,Male,Mutant,6'6 // 198 cm,275 lb // 124 kg,Brown,No Hair,,365
345,Bloodhawk,80,10,50,80,80,65,No,Marvel Comics,good,Male,Mutant,- // 0 cm,- lb // 0 kg,Black,No Hair,,365
346,Leonardo,90,20,50,65,60,80,No,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,Blue,No Hair,Green,365
347,Magog,80,50,25,65,70,75,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,Blue,Blond,,365
348,Man-Thing,80,35,10,100,100,40,No,Marvel Comics,good,Male,,7'0 // 213 cm,500 lb // 225 kg,Red,No Hair,Green,365
349,Misfit,85,35,25,80,95,45,Yes,DC Comics,good,Female,,- // 0 cm,- lb // 0 kg,Blue,Red,,365
350,Mr Incredible,80,85,35,95,30,40,No,Dark Horse Comics,good,Male,Human,6'7 // 201 cm,350 lb // 158 kg,Blue,Blond,,365
351,Wildfire,80,35,25,100,80,45,No,DC Comics,good,Male,,- // 0 cm,- lb // 0 kg,,,,365
352,Killer Croc,65,55,35,90,55,60,Yes,DC Comics,bad,Male,Metahuman,8'0 // 244 cm,790 lb // 356 kg,Red,No Hair,Green,360
353,Kylo Ren,80,45,35,30,100,70,No,George Lucas,bad,Male,Human,- // 0 cm,- lb // 0 kg,,,,360
354,Morlun,85,60,35,45,75,60,No,Marvel Comics,bad,Male,,6'2 // 188 cm,175 lb // 79 kg,White,Black,,360
355,Captain America,85,20,40,55,60,100,Yes,Marvel Comics,good,Male,Human,6'2 // 188 cm,240 lb // 108 kg,Blue,Blond,,360
356,Darkhawk,80,35,35,70,75,65,No,Marvel Comics,good,Male,Human,6'1 // 185 cm,180 lb // 81 kg,Brown,Brown,,360
357,Machine Man,85,35,35,85,55,65,No,Marvel Comics,good,Male,,6' // 183 cm,850 lb // 383 kg,Red,Black,,360
358,Raphael,85,20,50,65,60,80,No,IDW Publishing,good,Male,Mutant,- // 0 cm,- lb // 0 kg,,No Hair,Green,360
